Barcode ▲,Asset Type,Asset Age,Installation Date,Risk Score,Risk Rating,Asset Condition,Asset Repair Category,Environmental Rating,Impact Rating,Room Code,Site,Building Name,Manager Name,View
1000000,Room Air Conditioners,5,2019-02-03,85,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,5. Severe,NICB-001,Cavendish Campus,Cavendish NICB,Daniel Martinez,View
1000001,Water Booster Pumps,5,2018-12-22,29,CRITICAL,D (Very Poor): Asset runs a serious risk of imminent breakdown or poses a health and safety risk.,Category 1 (Urgent): Critical work required to address serious health and safety issues and correct any breach of legislation.,5,5. Severe,COP-001,Cavendish Campus,Copland,Daniel Martinez,View
1000096,Sewage or Drainage Pumps Submersible,2,2021-11-09,81,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,4. Significant,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000097,Sewage or Drainage Pumps Submersible,3,2020-07-31,73,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,4. Significant,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000098,Sump Pumps and Extended Shaft Sump Pumps,0,2023-08-21,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,5. Severe,COP-008,Cavendish Campus,Copland,Daniel Martinez,View
1000099,Sump Pumps and Extended Shaft Sump Pumps,2,2022-01-30,78,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,5. Severe,COP-008,Cavendish Campus,Copland,Daniel Martinez,View
1000100,Sewage or Drainage Pumps Submersible,12,2012-01-05,62,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,4. Significant,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000101,Ventilating Fans - General,15,2008-09-04,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000102,Ventilating Fans - General,5,2018-06-08,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000103,Ventilating Fans - General,1,2022-11-18,75,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000104,Ventilating Fans - General,16,2007-11-23,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000105,Sewage or Drainage Pumps Submersible,9,2015-03-02,64,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000106,Sewage or Drainage Pumps Submersible,2,2021-10-19,73,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000107,Meter Reading - Gas,1,2022-11-27,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000108,Heat meter, calculator and temperature probes,9,2014-10-12,59,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000109,Heat meter, calculator and temperature probes,3,2021-02-04,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000110,Heat meter, calculator and temperature probes,12,2012-02-01,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000111,Heat meter, calculator and temperature probes,7,2016-05-31,62,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000112,Heat meter, calculator and temperature probes,14,2010-01-06,53,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000113,Heat meter, calculator and temperature probes,10,2013-05-11,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000114,Heat meter, calculator and temperature probes,9,2015-02-13,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000115,Heat meter, calculator and temperature probes,1,2022-11-24,76,LOW,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000116,Ventilating Fans - General,6,2017-08-04,77,LOW,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000117,Ventilating Fans - General,2,2021-06-02,75,MEDIUM,A (Good): Asset is as new and can be expected to perform adequately to its full normal life if maintained appropriately.,Category 4 (Normal): No work required beyond normal maintenance.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000118,Packaged Chiller Units,6,2018-04-01,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000119,Packaged Chiller Units,11,2013-03-29,65,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000120,Packaged Chiller Units,5,2018-10-15,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000121,Fixed Access Ladders and Stairs,14,2009-09-10,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000122,Heat meter, calculator and temperature probes,12,2012-02-22,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000123,Heat meter, calculator and temperature probes,2,2021-06-22,68,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000124,Heat meter, calculator and temperature probes,1,2022-10-18,70,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000125,Heat meter, calculator and temperature probes,14,2010-04-17,53,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000126,Heat meter, calculator and temperature probes,12,2011-07-25,55,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000127,Heat meter, calculator and temperature probes,8,2016-01-24,61,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000128,Heat meter, calculator and temperature probes,13,2010-08-29,54,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000129,Heat meter, calculator and temperature probes,10,2013-11-29,58,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,2. Minor,NRF-003,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000130,Ventilating Fans - General,4,2019-11-08,72,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000131,Ventilating Fans - General,18,2005-09-02,57,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,2. Minor,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000132,Emergency eye wash station (Plumbed System),6,2018-04-19,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,3. Moderate,NRF-005,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000133,Trace Heating - Electrical,1,2022-12-02,71,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,NRF-005,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000134,Trace Heating - Electrical,16,2008-04-12,56,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,5,4. Significant,NRF-005,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000135,Cable and Track/Rail Based Safety Systems,1,2022-10-27,74,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,3. Moderate,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
1000136,Packaged Chiller Units,15,2008-05-11,60,MEDIUM,B (Average): Asset is sound, operationally safe and exhibits only minor deterioration.,Category 3 (Recommended): Minor work required to prevent a deterioration of the service provided by the asset.,4,4. Significant,NRF-004,Cavendish Campus,Nano Research Facility,Daniel Martinez,View
